### 朝（5時〜9時台） （12本）

| 始発駅 | 博多発 | 鳥栖着 | 鳥栖発 | 久留米着 | 種別 / 所要 | 備考・接続 |
| :--- | :---: | :---: | :---: | :---: | :---: | :--- |
| 博多 | **05:13** | 05:58 | 06:02 | **06:09** | **普通** (56分) | 直通 (大牟田行) |
| 福間 | **05:52** | 06:41 | 06:45 | **06:53** | **普通** (61分) | 鳥栖乗換 ((鳥栖発 大牟田行)) |
| 博多 | **06:20** | 06:58 | 07:02 | **07:08** | **区間快速** (48分) | 直通 (荒尾行) |
| 博多 | **06:35** | 07:16 | 07:24 | **07:32** | **普通** (57分) | 鳥栖乗換 ((鳥栖発 八代行)) |
| 博多 | **06:56** | 07:37 | 07:38 | **07:46** | **普通** (50分) | 直通 (大牟田行) |
| 福間 | **07:05** | 07:53 | 07:59 | **08:06** | **普通** (61分) | 直通 (荒尾行) |
| 小倉 | **07:52** | 08:26 | 08:27 | **08:33** | **普通** (41分) | 直通 (羽犬塚行) |
| 折尾 | **07:59** | 08:45 | 08:46 | **08:53** | **普通** (54分) | 直通 (久留米行) |
| 門司港 | **08:42** | 09:18 | 09:21 | **09:28** | **普通** (46分) | 鳥栖乗換 ((門司港発 久留米行)) |
| 門司港 | **09:24** | 10:03 | 10:06 | **10:14** | **区間快速** (50分) | 鳥栖乗換 ((鳥栖発 大牟田行)) |
| 小倉 | **09:36** | 10:20 | 10:33 | **10:39** | **普通** (63分) | 鳥栖乗換 ((鳥栖発 荒尾行)) |
| 福間 | **09:54** | 10:46 | 10:49 | **10:58** | **普通** (64分) | 直通 (久留米行) |

### 日中（10時〜15時台） （15本）

| 始発駅 | 博多発 | 鳥栖着 | 鳥栖発 | 久留米着 | 種別 / 所要 | 備考・接続 |
| :--- | :---: | :---: | :---: | :---: | :---: | :--- |
| 小倉 | **10:26** | 11:02 | 11:03 | **11:09** | **普通** (43分) | 直通 (羽犬塚行) |
| 福間 | **10:36** | 11:26 | 11:27 | **11:35** | **普通** (59分) | 直通 (荒木行) |
| 門司港 | **10:56** | 11:34 | 11:34 | **11:40** | **普通** (44分) | 直通 (羽犬塚行) |
| 門司港 | **11:26** | 12:06 | 12:09 | **12:17** | **区間快速** (51分) | 鳥栖乗換 ((鳥栖発 荒尾行)) |
| 博多 | **12:02** | 12:35 | 12:36 | **12:42** | **普通** (40分) | 直通 (羽犬塚行) |
